anchor,positive
I can't make decisions by myself.,I can't make a decision on my own.
Does Tom know what you've done?,Does Tom know what you're doing?
That's just impossible.,That's just not possible.
"If something ridiculous occurs, then press down on the red button.","If something strange happens, press the red starter-button."
Do you know when Tom will do that?,Do you know when Tom is going to do that?
Tom told Mary that he thought John wasn't done.,Tom told Mary that he didn't think John was done.
I know that I do not know.,"I know one thing, that I know nothing."
He committed an illegal act.,He broke the law.
I couldn't stand it.,I couldn't bear it.
We didn't argue!,We weren't fighting.
A lot of wild animals died for lack of food.,A lot of wild animals died because there wasn't any food.
He's an aristocrat.,He is an aristocrat.
Esperanto is a fun language to learn.,It's really fun to learn Esperanto.
"The climate of England is not so mild as that of Japan, but in summer it is much cooler.","The climate of England isn't as mild as Japan, but in the summer, it's much cooler."
We were really surprised.,We were truly surprised.
The president abolished slavery.,The president has abolished slavery.
Mary and I are engaged.,Mary and I got engaged.
I don't know anything as to his past.,I don't know anything about his past.
He says he won't come.,He says he's not coming.
I like potatoes.,I love potatoes.
Tom is starting to annoy me.,I've had enough of Tom.
What would you do if the world were to come to an end tomorrow?,"If the world was going to end tomorrow, what would you do?"
I talked myself hoarse.,I talked on the telephone.
It's the front gate.,That's the main gate.
She may be French.,She could be French.
There's nothing in the fridge.,The fridge is empty.
Tom doesn't have any enemies.,Tom has no enemies.
She sells flowers.,He's selling flowers.
Tom sensed that something was not quite right.,Tom sensed something wasn't quite right.
I'm Tom's grandfather.,I am Tom's grandfather.
He responded kindly to the question.,He kindly answered the question.
Tom lets Mary do whatever she wants to do.,Tom allows Mary to do whatever she wants.
I'm going to see Tom later this afternoon.,I'll see Tom this afternoon.
He saw her and blushed.,He looked at her and blushed.
So where do I go?,Where do I go then?
I couldn't do otherwise.,I could not have done otherwise.
No one can foretell the future.,Nobody can predict the future.
She was nearly frozen to death in the snow.,He almost froze to death from the snow.
He lives near here.,He lives close by.
He is a little bit unhappy today.,He isn't very happy today.
I love French fries.,I love chips.
The largest animal on land is the elephant.,Elephants are the largest land animals.
He did it while she was drunk.,She did it while he was drunk.
My sister takes piano lessons twice a week.,My youngest sister has piano lessons twice weekly.
TV's boring today.,There's nothing worth watching on TV today.
She looks good for her age.,He looks good for his age.
The street was crowded with people.,There were a lot of people on the street.
Tom arrived here thirty minutes early.,Tom came in thirty minutes too early.
Can I question him?,Can I question her?
I know the boy standing over there.,I know the boy there.
Spring is a delightful season.,Spring is an enjoyable season.
They set the time and place of the wedding.,They decided on the date and location of their wedding.
Tom looks very troubled.,Tom looks very worried.
The man is wearing a pair of glasses.,He is wearing glasses.
When do you go to bed?,When's your bedtime?
This is the first time I've ever connected to the Internet in the country.,The first time I ever connected to the Internet was in the country.
I don't have a family.,I have no family.
Tom still lives in Boston.,Tom is still living in Boston.
Everyone screamed.,They all screamed.
You had better have studied harder.,You should have studied harder.
Let's try to make him laugh.,Let's try to make her laugh.
It was expected.,That was predictable.
Tom and Mary agree.,Tom and Mary are in agreement.
Where are my swords?,Where are my balls?
A good result is in prospect.,We expect good results.
Neither Tom nor Mary was injured.,Neither Tom nor Mary has been injured.
"In order to do that, you have to take risks.","In order to get it done, you'll have to take risks."
Tom has a heart condition.,Tom has heart problems.
This sentence will be translated.,This sentence is going to be translated.
I will show that it's possible to be reborn from one's ashes.,I will show you that man can be reborn from his ashes.
My flight was canceled.,My flight has been canceled.
I have ten times as many books as you have.,I have ten times more books than you do.
It is not easy to get rid of bad habits.,Bad habits are not easily broken.
You needn't do it at once.,You must not do it now.
She promised me to clean my room.,She promised me that she would clean my room.
Tom is likely to pass today's exam.,Tom will probably pass today's exam.
The butter on the bread is very good.,Bread with butter tastes very good.
They insisted that they acted alone.,They insisted they acted alone.
Japanese love to soak in a hot tub before bed.,Japanese like to soak in hot water before going to sleep.
He was crying with pain when he broke his leg.,When he broke his leg he was screaming out in pain.
Let's grab some coffee.,Let's go grab a cup of coffee.
I had to send him home.,I had to send her home.
I'll invite whoever wants to come.,"I invite anyone, who wants to come."
Rides in the cars are for kids.,Riding in the car is for kids.
I no longer work here.,I don't work here anymore.
I planned on doing that.,I planned to do that.
Father visited my uncle in hospital.,My father visited my uncle in the hospital.
Tom bought a gift for each of his children.,Tom bought each of his children a gift.
Tom thinks of Mary as his best friend.,Tom believes that Mary is his best friend.
I don't go there so often anymore.,I don't go there as often as that anymore.
Tell him to quit his yakking.,Tell him to shut his mouth.
My poor English cost me my job.,Now my broken English has cost me that job.
I don't know where to start.,I don't know where I'd begin.
I passed clots.,I had a lochia.
You must go to work.,You've got to go to work.
I think you've been brainwashed.,I think that you have been brainwashed.
Can I have a bite?,May I have a piece of it?
I've got goose bumps.,I got goosebumps.
Tom and I are dependent on each other.,Tom and I belong together.
Let's try again.,Let's try once again.
Tom must've been upset.,Tom had to have been upset.
Sami was forced to kill Layla.,Sami had to kill Layla.
I know that Tom is impressed.,I know Tom is impressed.
No one noticed us.,Nobody noticed us.
What do you weigh?,How many kilograms do you weigh?
"A study has proved, that eating too fast increases your chance for obesity.",A study showed that eating too fast contributes to obesity.
Do you like to do homework?,Do you like doing homework?
They thought that they had time.,They thought they had time.
I never said it would be simple.,I have never said it would be easy.
I will send you a copy of this picture as soon as I can.,I'll send you a copy of that picture as soon as possible.
I have plenty of things to eat in the pantry.,I have a ton of food in my pantry.
It was too late.,It was far too late.
Switch on the light. I can't see anything.,Put the light on. I can't see a thing.
Tom looks bashful.,Tom seems shy.
Health is the most precious thing we have.,Our health is our most precious possession.
Why don't you give them a call?,Why don't you look for them?
How should we do this?,How should we be doing this?
Tom could've been confused.,Tom could have been confused.
I'm sure you'll think of something.,I'm sure you'll come up with something.
