anchor,positive,negative
"i am a woman , that is good to know !",i am a woman .,i am a man in my sixties .
"like that , well any meat i love meat so much !",i could never be a vegetarian .,i do not like to eat meat .
it happens some times . . got to go along with that .,i have been away for a long time .,i do not travel .
due to recent medical complications i do not do red meat .,i hate red meat .,i would eat red meat over fish any day .
red is mines . i am bout to order some pizza . i can eat pizza all day .,pizza is my favorite food .,i cannot stand pizza .
"gosh , reading is my favorite ! too expensive to do much else here in california .",i like reading more than anything .,i live in upstate new york .
"can not really say i am a fan , but i am one of basketball .",i love to play basketball .,i am not very good at playing basketball .
learning is exciting to me .,i like learning about the past .,i do not take school too seriously .
sorry to hear . i graduate in september maybe we can play guitar together .,i will be graduating in september and hope to get a teaching job soon .,one day i hope i can be a journalist .
that is sweet . cherish every moment . i am widowed you see . i miss those days .,i am a widow .,i am divorced and looking to date .
frank ocean the rapper . we rapp together .,i am a rapper .,i work bagging food .
"yes , he is italian , he is introduced me to some of my favorite foods !",i am a lover of italian food .,beef is my favorite food .
nice i love summer . just do not like wearing those dresses .,i do not like dresses .,i am always happy when the summer ends .
i love to go hiking with my dogs .,i am a huge fan of chocolate poodles .,i am not a dog person .
i am a general in a video game for a orcish army .,there i m a general of an orcish army .,i work in tech .
yeah but i do not get to travel a lot .,i go running a lot .,i hate running .
you need some inspiration then . you should play pink floyd while you work .,my favorite band is pink floyd .,my favorite band is worn .
i want to be a famous actor .,i want to be on broadway .,i want to work on broadway .
"true . other than working on cars , i love my old garage dog , tiny .",i love my pet dog more than anything .,i am not a dog person .
my favorite beach in this area is jones beach . it is about 2 hours from me .,i love the beach .,i do not like the beach .
i take the subway to work everyday .,i am currently trying to open my own grocery store .,i am going on strike .
cashier .,i work two jobs as a cashier .,i am employed as a emt .
love summer . hate fall . love camaro . hate kia .,my favorite season is summer .,i love fall and winter .
i love growing vegetables .,i love to keep a small garden outside of my house .,i do not like gardening .
i stay up late listening to kpop all the time .,pop is my favorite music .,kpop is my favorite music .
cool do you eat meat .,when i was a child i began avoiding meat .,i like meat and vegetables .
i am a plumber such a dirty job but somebody gotta do it .,i make my living doing plumbing and other repairs .,i am a cashier in a supermarket .
i am a roofer .,i work in construction and repair peoples roofs .,i work in commercials .
"my names is mary , and a full time student studying radiology at upenn near me .",i m also a fulltime student studying radiology at local college .,i am taking online classes .
cool . i was going to go to grad school there .,i m in my last year of grad school .,"i m still a student , but i m gonna be a nurse ."
no . just for fun . and my 2 daughters say the same thing .,i have two girls of my own .,no . just for fun . and my six daughters say the same thing .
"i love to eat ribs , and other , food . and beer !",we drink beer and eat food .,i do not like beer .
i have a mutt and a german shepard he is my police dog i am a cop .,i work as a police officer .,i enjoy my job in branding .
"doing great . i had the day off , you ?",there are weeks that i work almost every single day .,i became unemployed from the bank recently .
"its because of my big feet , you know 6 toes and all .",i have 6 toes on one foot .,"its because of my big feet , you know ten toes and all ."
i constantly read and i am reading a book on it now .,i love to read .,"i enjoy john gresham movies , but not his books ."
i live in the state by colorado .,i live in colorado .,i live in north dakota .
i m currently looking for a job in baltimore .,i m looking for a job .,i start an internship in engineering later this year .
i am super into movies my dad and i own over 600 .,my dad and i own over 600 movies .,i am super into movies my dad and i own over 603 .
"well , i camp with my wife and 2 girls !",my wife and two kids camp with me .,"well , i camp with my wife and seven girls !"
"i am into fast winter sports , especially skiing ! sounds like we both enjoy speed !",i like to ski .,i hate skiing .
