anchor,positive
if you can tap to the beatles that would be so amazing .,i like the beatles .
i would rather put my earnings in the bank .,i have more money than i know what to do with .
perhaps . keeps you from eating broccoli all day too .,i do not like broccoli .
one of my cats is orange . i love that color . the other two are gray .,i just adopted a some kittens .
music is okay . better than the holidays . i hate those .,i hate the holidays .
"i am well , trying to plan my vacation to florida .",i vacation in florida every winter .
you must feel great ! i want to feel that way .,i like to grub .
i am doing okay . just sat here listening to rock music . its my favorite .,my favorite genre of music is rock .
i have 2 laptops . you could come join me .,i owe two laptops .
love it there ! i was a nurse when i lived there .,"in my past life , i was an rn ."
"jinx , good i just back from work , a teacher .",i am a teacher .
hello ! just sitting here with my favorite country music radio station on .,i like to listen to country music .
me too . that will make it easy when i go to study english in spain .,i would also like to study abroad in spain .
we have a new ipa we are marketing to children .,i have a young kid .
favorite color is green .,green is my favorite color .
"have you ever screamed really loud , and it felt so good !",i sometimes need to scream to feel alive .
i like to work in the kitchen on the weekend .,i find pleasure in cooking .
i love pistachio ice cream . ever had it ?,my favorite ice cream is pistachio .
she had a green thumb and loved flowers me not all that much .,i hate flowers .
cool that would be nice but i am failing my classes at school .,i am failing some of my classes .
trying to turn into the real me . i want to be happy as myself someday .,i hope to one day be happy with myself .
do you work in writing ? i do editing from home so maybe i could help .,"i work at home , editing ."
"that is great , i am working becoming a chef , i enjoy cooking .",i enjoy making food that tastes good .
i need to get a new black purse . i have had mine for ages .,i have a black purse .
that sounds fun . i enjoy sewing for fun . and swimming !,i like to sew things .
thank you ! i just graduated in may . i still have plans to play overseas .,i am fresh into the post graduate world .
oh you can color 2 of each animal for my arc . i am a religious person .,i m very religious .
i drive a red prius want me to pick you up instead i love red .,i drive a prius .
"caffeine is terrible , it is like a drug , i do not partake at all .",i don t consume caffeine .
i do not trust anyone .,i am distrustful of people .
she . my boss is a she . sometimes i go a little nuts .,i despise my boss .
"it is a virtual yoga and meditation class , very different than my day job .",i practice yoga daily .
i am okay too . woke up missing my father today .,i miss my dad .
"i severed my spinal cord sky diving , it was crazy . luckily i can work from home now .",i like working where i live .
cool . i wish i had more time to start a garden .,i spend a lot of time outside .
my parents are over the age of 100 years old . how old are yours ?,my parents are both over age 100 .
i apologize . people say i am like a savage .,i am a savage .
just a small pet cat . you have cats ?,i have a small pet cat .
cher is my idea of perfection so it was worth . i am a biologist .,cher from clueless is my idea of perfection .
i really like social media .,i spend a good deal of time on social media .
interesting . it is about to get stressful at work with the holidays coming . send candy ! lol .,i love candy .
"i have a chevy too , it was my dads before he went into the military .",my father was also in the military .
"sadly , no but i do have four children and several grandchildren .",i have grandkids that are preteens and adults .
i am ready to take blue jello break . i love it !,my favorite jello is the blue one .
you just got to have the right car !,i have a german car .
"cool , food ! i love to eat but its hard while driving a stick shift , safety first !",i drive a rig .
yeah i enjoy csi as well though .,my favorite show is csi .
i run my parents travel agency .,i know a lot about other places .
"i am a music journalist , i love lindsey spirlings music .",i cannot get enough of lindsey spirlings music .
"doing great . my given name is william , but i go by bill .","my name is william , but people call me bill ."
i have studied ballet all my life .,i love ballet .
